[08/20/13] [14:17:50] [*] Clipping done
[08/20/13] [14:17:50] [*] SDL Init !
[08/20/13] [14:17:50] [*] Character Init! 

[08/20/13] [14:33:25] [*] Placing Tiles ( 180 , 0 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 240 , 0 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 300 , 0 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 360 , 0 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 420 , 0 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 480 , 0 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 540 , 0 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 600 , 0 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 660 , 0 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 720 , 0 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 780 , 0 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 0 , 60 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 60 , 60 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 120 , 60 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 180 , 60 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 240 , 60 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 300 , 60 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 360 , 60 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 420 , 60 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 480 , 60 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 540 , 60 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 600 , 60 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 660 , 60 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 720 , 60 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 780 , 60 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 0 , 120 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 60 , 120 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 120 , 120 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 180 , 120 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 240 , 120 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 300 , 120 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 360 , 120 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 420 , 120 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 480 , 120 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 540 , 120 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 600 , 120 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 660 , 120 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 720 , 120 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 780 , 120 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 0 , 180 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 60 , 180 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 120 , 180 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 180 , 180 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 240 , 180 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 300 , 180 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 360 , 180 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 420 , 180 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 480 , 180 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 540 , 180 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 600 , 180 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 660 , 180 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 720 , 180 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 780 , 180 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 0 , 240 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 60 , 240 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 120 , 240 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 180 , 240 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 240 , 240 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 300 , 240 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 360 , 240 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 420 , 240 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 480 , 240 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 540 , 240 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 600 , 240 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 660 , 240 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 720 , 240 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 780 , 240 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 0 , 300 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 60 , 300 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 120 , 300 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 180 , 300 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 240 , 300 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 300 , 300 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 360 , 300 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 420 , 300 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 480 , 300 )
[08/20/13] [14:33:25] [*] Placing Tiles ( 540 , 300 )
[08/20/13] [14:33:25] [*] Tile Init !

	_Logging Started_ [08/20/13] [14:35:56] 
[08/20/13] [14:35:56][08/20/13] [14:35:57] [*] Clipping done
[08/20/13] [14:35:57] [*] SDL Init !
[08/20/13] [14:35:57] [*] Character Init! 

[08/20/13] [14:35:57] [*] FPS Capped at 30 
[08/20/13] [14:35:57] [*] Placing Tiles ( 0 , 0 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 60 , 0 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 120 , 0 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 180 , 0 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 240 , 0 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 300 , 0 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 360 , 0 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 420 , 0 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 480 , 0 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 540 , 0 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 600 , 0 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 660 , 0 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 720 , 0 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 780 , 0 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 0 , 60 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 60 , 60 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 120 , 60 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 180 , 60 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 240 , 60 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 300 , 60 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 360 , 60 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 420 , 60 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 480 , 60 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 540 , 60 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 600 , 60 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 660 , 60 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 720 , 60 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 780 , 60 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 0 , 120 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 60 , 120 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 120 , 120 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 180 , 120 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 240 , 120 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 300 , 120 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 360 , 120 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 420 , 120 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 480 , 120 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 540 , 120 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 600 , 120 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 660 , 120 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 720 , 120 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 780 , 120 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 0 , 180 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 60 , 180 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 120 , 180 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 180 , 180 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 240 , 180 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 300 , 180 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 360 , 180 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 420 , 180 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 480 , 180 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 540 , 180 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 600 , 180 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 660 , 180 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 720 , 180 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 780 , 180 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 0 , 240 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 60 , 240 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 120 , 240 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 180 , 240 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 240 , 240 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 300 , 240 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 360 , 240 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 420 , 240 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 480 , 240 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 540 , 240 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 600 , 240 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 660 , 240 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 720 , 240 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 780 , 240 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 0 , 300 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 60 , 300 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 120 , 300 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 180 , 300 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 240 , 300 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 300 , 300 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 360 , 300 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 420 , 300 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 480 , 300 )
[08/20/13] [14:35:57] [*] Placing Tiles ( 540 , 300 )
[08/20/13] [14:35:57] [*] Tile Init !

[08/20/13] [14:35:58] [*] Tiles Deleted !

	_Logging Stopped_ [08/20/13] [14:35:58] 
----------------------------------------------
	_Logging Started_ [08/20/13] [20:28:51] 
[08/20/13] [20:28:51][08/20/13] [20:28:52] [*] Clipping done
[08/20/13] [20:28:52] [*] SDL Init !
[08/20/13] [20:28:52] [*] Character Init! 

[08/20/13] [20:28:52] [*] FPS Capped at 30 
[08/20/13] [20:28:52] [*] Placing Tiles ( 0 , 0 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 60 , 0 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 120 , 0 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 180 , 0 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 240 , 0 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 300 , 0 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 360 , 0 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 420 , 0 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 480 , 0 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 540 , 0 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 600 , 0 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 660 , 0 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 720 , 0 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 780 , 0 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 0 , 60 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 60 , 60 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 120 , 60 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 180 , 60 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 240 , 60 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 300 , 60 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 360 , 60 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 420 , 60 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 480 , 60 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 540 , 60 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 600 , 60 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 660 , 60 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 720 , 60 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 780 , 60 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 0 , 120 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 60 , 120 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 120 , 120 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 180 , 120 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 240 , 120 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 300 , 120 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 360 , 120 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 420 , 120 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 480 , 120 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 540 , 120 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 600 , 120 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 660 , 120 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 720 , 120 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 780 , 120 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 0 , 180 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 60 , 180 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 120 , 180 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 180 , 180 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 240 , 180 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 300 , 180 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 360 , 180 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 420 , 180 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 480 , 180 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 540 , 180 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 600 , 180 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 660 , 180 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 720 , 180 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 780 , 180 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 0 , 240 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 60 , 240 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 120 , 240 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 180 , 240 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 240 , 240 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 300 , 240 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 360 , 240 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 420 , 240 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 480 , 240 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 540 , 240 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 600 , 240 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 660 , 240 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 720 , 240 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 780 , 240 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 0 , 300 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 60 , 300 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 120 , 300 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 180 , 300 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 240 , 300 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 300 , 300 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 360 , 300 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 420 , 300 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 480 , 300 )
[08/20/13] [20:28:52] [*] Placing Tiles ( 540 , 300 )
[08/20/13] [20:28:52] [*] Tile Init !

[08/20/13] [20:29:14] [*] Tiles Deleted !

	_Logging Stopped_ [08/20/13] [20:29:14] 
----------------------------------------------
